,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed
438,USED,2022,FORD,MAVERICK,XL,37333,Velocity Blue Metallic,Black Onyx,All-wheel Drive,Gasoline,8623,"310 S Washington St Chillicothe, MO 64601",2023-05-12
439,USED,2022,FORD,MAVERICK,XLT,31995,Carbonized Gray Metallic,Black Onyx,Front-wheel Drive,Gasoline,32006,"2414 N Central Ave Marshfield, WI 54449",2023-05-12
440,USED,2023,FORD,MAVERICK,XLT,38581,Shadow Black,Navy Pier,All-wheel Drive,Gasoline,614,"2517 SE Best Ln Bentonville, AR 72712",2023-05-12
441,USED,2022,FORD,MAVERICK,XLT,36249,Carbonized Gray Metallic,Black Onyx,Front-wheel Drive,Hybrid,7553,"2517 SE Best Ln Bentonville, AR 72712",2023-05-12
442,USED,2022,FORD,MAVERICK,XLT,35995,–,–,Front-wheel Drive,Hybrid,18093,"2600 SE Moberly Lane Bentonville, AR 72712",2023-05-12
443,USED,2022,FORD,MAVERICK,XLT,37995,Area 51,Navy Pier,All-wheel Drive,Gasoline,4360,"200 E 4th St Appleton City, MO 64724",2023-05-12
444,USED,2022,FORD,MAVERICK,XLT,35937,Carbonized Gray Metallic,Navy Pier,Front-wheel Drive,Gasoline,13521,"2920 South Grand Avenue Carthage, MO 64836",2023-05-12
445,USED,2022,FORD,MAVERICK,LARIAT,42229,Shadow Black,Desert,All-wheel Drive,Gasoline,5884,"2920 South Grand Avenue Carthage, MO 64836",2023-05-12
446,USED,2022,FORD,MAVERICK,XLT,38000,Cactus Green / Gray,Navy Pier,Front-wheel Drive,Hybrid,5227,"7404 University Ave Cedar Falls, IA 50613",2023-05-12
447,USED,2022,FORD,MAVERICK,XLT,38495,Cactus,Navy Pier,All-wheel Drive,Gasoline,1500,"2805 S Center St Marshalltown, IA 50158",2023-05-12
448,USED,2023,FORD,MAVERICK,XLT,36201,Cactus Gray,Black Onyx,Front-wheel Drive,Gasoline,40,"491 Highway 412 East Siloam Springs, AR 72761",2023-05-12
449,USED,2023,FORD,MAVERICK,XLT,40047,–,–,All-wheel Drive,Gasoline,1413,"1500 E College St Lake Charles, LA 70607",2023-05-12
450,USED,2022,FORD,MAVERICK,XL,,Cactus,Black Onyx,All-wheel Drive,Gasoline,13415,"501 NE Colbern Rd Lee's Summit, MO 64086",2023-05-12
451,USED,2023,FORD,MAVERICK,XLT,35998,Blue,Gray,Front-wheel Drive,Gasoline,627,"19010 E Valley View Pkwy Independence, MO 64055",2023-05-12
452,USED,2022,FORD,MAVERICK,XLT,37799,Gray,Navy Pier,All-wheel Drive,Gasoline,11777,"2100 S Broadway St Poteau, OK 74953",2023-05-12
453,USED,2022,FORD,MAVERICK,XLT,36790,Oxford White,Navy Pier,Front-wheel Drive,Gasoline,850,"2406 N Jefferson Way Indianola, IA 50125",2023-05-12
454,USED,2023,FORD,MAVERICK,LARIAT,44997,Gray,Brown,All-wheel Drive,Gasoline,1299,"7576 US-51 Minocqua, WI 54548",2023-05-12
455,USED,2023,FORD,MAVERICK,LARIAT,47997,White,Black,All-wheel Drive,Gasoline,931,"7576 US-51 Minocqua, WI 54548",2023-05-12
456,USED,2022,FORD,MAVERICK,LARIAT,32900,Orange,Brown / Black,All-wheel Drive,Gasoline,12717,"805 SE 30th st Des Moines, IA 50317",2023-05-12
457,USED,2023,FORD,MAVERICK,XLT,39900,Gray,–,Front-wheel Drive,CVT Transmission,33,"Patrick from Des Moines, IA 50317",2023-05-12
458,USED,2022,FORD,MAVERICK,LARIAT,38500,Cactus Green / Gray,Desert,All-wheel Drive,Gasoline,17784,"220 W 103rd St KCMO, MO 64114",2023-05-12
459,USED,2022,FORD,MAVERICK,XLT,34500,Oxford White,Navy Pier,All-wheel Drive,Gasoline,12046,"2900 Burlington St North Kansas City, MO 64116",2023-05-12
460,USED,2022,FORD,MAVERICK,LARIAT,40000,Oxford White,Desert,All-wheel Drive,Gasoline,20304,"2900 Burlington St North Kansas City, MO 64116",2023-05-12
461,USED,2023,FORD,MAVERICK,XL,34500,Carbonized Gray Metallic,Black Onyx,Front-wheel Drive,Gasoline,365,"145 George Guess Rd Tahlequah, OK 74464",2023-05-12
462,USED,2022,FORD,MAVERICK,LARIAT,41998,Blue,Brown,All-wheel Drive,Gasoline,16816,"6801 E Frontage Rd Merriam, KS 66204",2023-05-12
463,USED,2022,FORD,MAVERICK,LARIAT,40779,Orange,Desert,All-wheel Drive,Gasoline,10292,"1845 E. Santa Fe Olathe, KS 66062",2023-05-12
464,CERTIFIED,2022,FORD,MAVERICK,LARIAT,34962,Blue,Desert,Front-wheel Drive,Gasoline,31685,"1845 E. Santa Fe Olathe, KS 66062",2023-05-12
465,USED,2022,FORD,MAVERICK,LARIAT,39832,Shadow Black,Desert,Front-wheel Drive,Hybrid,8368,"1845 E. Santa Fe Olathe, KS 66062",2023-05-12
466,USED,2022,FORD,MAVERICK,XLT,35600,Cactus,Navy Pier,Front-wheel Drive,Hybrid,16079,"7301 State Ave Kansas City Kansas City, KS 66112",2023-05-12
467,USED,2022,FORD,MAVERICK,LARIAT,35995,Oxford White,Desert,Front-wheel Drive,Hybrid,32225,"1719 S. High Ave / PO Box 845 Ames, IA 50010",2023-05-12
468,USED,2022,FORD,MAVERICK,LARIAT,44336,Red Metallic,Desert,All-wheel Drive,Gasoline,5213,"123 Airport Rd Ames, IA 50010",2023-05-12
469,CERTIFIED,2022,FORD,MAVERICK,XLT,37999,CARBONIZED GREY METALLIC,NAVY PIER -MED SLATE TRIM,–,–,8358,"2909 Lorch Ave Eau Claire, WI 54701",2023-05-12
470,USED,2022,FORD,MAVERICK,LARIAT,38677,Iconic Silver Metallic,Desert Brown,All-wheel Drive,Gasoline,15565,"2802 Lorch Ave Eau Claire, WI 54701",2023-05-12
471,USED,2022,FORD,MAVERICK,LARIAT,37900,Cactus Green / Gray,Desert,Front-wheel Drive,Gasoline,10077,"225 W Dwain Willis Ave Vinita, OK 74301",2023-05-12
472,CERTIFIED,2022,FORD,MAVERICK,XLT,35800,OXFORD WHITE,NAVY PIER -MED SLATE TRIM,–,–,5460,"203 W Main St Stigler, OK 74462",2023-05-12
473,USED,2022,FORD,MAVERICK,XL,34147,Gray,Black Onyx/Medium Dark Slate,Front-wheel Drive,Gasoline,8183,"1601 Green Avenue Orange, TX 77630",2023-05-12
474,CERTIFIED,2022,FORD,MAVERICK,XL,29987,OXFORD WHITE,BLACK ONYX-MED DK SLATE TRI,–,–,19179,"1819 SE Marshall St Boone, IA 50036",2023-05-12
475,USED,2022,FORD,MAVERICK,XLT,35312,Gray,–,All-wheel Drive,Gasoline,15670,"240 W Shawnee St Muskogee, OK 74401",2023-05-12
476,CERTIFIED,2022,FORD,MAVERICK,XLT,35199,Area 51,Navy Pier,All-wheel Drive,Gasoline,9487,"4900 US-52 Rochester, MN 55901",2023-05-12
477,USED,2022,FORD,MAVERICK,XLT,36980,Carbonized Gray Metallic,Black Onyx,All-wheel Drive,Gasoline,2530,"2320 S Oak St Ottawa, KS 66067",2023-05-12
478,USED,2023,FORD,MAVERICK,XLT,38790,Oxford White,Navy Pier,Front-wheel Drive,Hybrid,525,"301 S Highway 79 Henderson, TX 75654",2023-05-12
479,USED,2022,FORD,MAVERICK,LARIAT,38750,Shadow Black,Desert,All-wheel Drive,Gasoline,475,"2117 S. Main Maryville, MO 64468",2023-05-12
480,USED,2022,FORD,MAVERICK,XL,34983,Gray,Black Onyx,All-wheel Drive,Gasoline,3080,"303 Oak St Menomonie, WI 54751",2023-05-12
481,USED,2022,FORD,MAVERICK,XL,32500,Blue,Black Onyx,All-wheel Drive,Gasoline,25217,"1601 N Elm Pl Broken Arrow, OK 74012",2023-05-12
482,USED,2022,FORD,MAVERICK,LARIAT,40988,Area 51,Desert,All-wheel Drive,Gasoline,11305,"2920 N Aspen Ave Broken Arrow, OK 74012",2023-05-12
483,CERTIFIED,2022,FORD,MAVERICK,XL,29991,VELOCITY BLUE METALLIC,BLACK ONYX-MED DK SLATE TRI,–,–,31966,"2020 TX-286 Loop Paris, TX 75460",2023-05-12
484,USED,2022,FORD,MAVERICK,XLT,33900,Shadow Black,Navy Pier,Front-wheel Drive,Gasoline,7589,"8501 N Owasso Expy Owasso, OK 74055",2023-05-12
485,USED,2022,FORD,MAVERICK,XLT,36895,Area 51,Navy Pier,Front-wheel Drive,Hybrid,5060,"9393 S Memorial Dr Tulsa, OK 74133",2023-05-12
486,USED,2022,FORD,MAVERICK,LARIAT,39999,Blue,Desert,All-wheel Drive,Gasoline,21468,"9777 S Memorial Dr Tulsa, OK 74133",2023-05-12
487,USED,2022,FORD,MAVERICK,XLT,33297,Cactus,Black Onyx,Front-wheel Drive,Gasoline,5746,"9898 S Memorial Dr Tulsa, OK 74133",2023-05-12
488,USED,2022,FORD,MAVERICK,SUPERC,34995,Area 51,–,All-wheel Drive,Gasoline,17190,"2626 S Southwest Loop 323 Tyler, TX 75701",2023-05-12
489,USED,2022,FORD,MAVERICK,SUPERC,34995,–,–,All-wheel Drive,Gasoline,13444,"2626 S Southwest Loop 323 Tyler, TX 75701",2023-05-12
490,USED,2023,FORD,MAVERICK,XLT,41250,Oxford White,Black Onyx,All-wheel Drive,Gasoline,177,"1511 E Rusk St Jacksonville, TX 75766",2023-05-12
491,USED,2022,FORD,MAVERICK,XLT,36500,Orange,Gray,All-wheel Drive,8-Speed A/T,1850,"Oleg from Saint Paul, MN 55122",2023-05-12
492,USED,2022,FORD,MAVERICK,FOR,,Velocity Blue Metallic,–,Front-wheel Drive,Hybrid,5960,"314 Main St. Hopkins, MN 55343",2023-05-12
493,USED,2023,FORD,MAVERICK,XLT,37000,Shadow Black,Medium Slate,Front-wheel Drive,Gasoline,104,"2222 N Milt Phillips Ave Seminole, OK 74868",2023-05-12
494,USED,2022,FORD,MAVERICK,XL,33055,–,–,FWD,Hybrid,9827,"2222 N Milt Phillips Ave Seminole, OK 74868",2023-05-12
495,CERTIFIED,2022,FORD,MAVERICK,SUPERC,,SHADOW BLACK,NAVY PIER -MED SLATE TRIM,–,–,10503,"108 W. Mason Street Mabank, TX 75147",2023-05-12
496,USED,2023,FORD,MAVERICK,XLT,38997,Cactus Green / Gray,Black Onyx,All-wheel Drive,Gasoline,5557,"311 Interstate 45 Conroe, TX 77301",2023-05-12
497,CERTIFIED,2022,FORD,MAVERICK,XL,31541,Oxford White,Black Onyx,Front-wheel Drive,Gasoline,25677,"20403 I-45 Spring, TX 77388",2023-05-12
498,USED,2022,FORD,MAVERICK,XL,33993,Oxford White,Black Onyx,All-wheel Drive,Gasoline,17952,"320 Interstate 45 Fairfield, TX 75840",2023-05-12
499,USED,2023,FORD,MAVERICK,XL,34980,Black,Black,Front-wheel Drive,CVT Transmission,47,"mherraizgomez@gmail.com from Omaha, NE 68116",2023-05-12
500,USED,2022,FORD,MAVERICK,XL,32000,Area 51,Black Onyx,Front-wheel Drive,Hybrid,20407,"1036 S Washington St Junction City, KS 66441",2023-05-12
501,USED,2022,FORD,MAVERICK,LARIAT,40500,Hot Pepper Red Tinted Clearcoat,Desert,Front-wheel Drive,Hybrid,10891,"3485 FM 528 Rd Alvin, TX 77511",2023-05-12
502,CERTIFIED,2022,FORD,MAVERICK,XLT,34383,CARBONIZED GREY METALLIC,NAVY PIER -MED SLATE TRIM,–,–,1429,"950 S. Central Expy. McKinney, TX 75070",2023-05-12
503,CERTIFIED,2022,FORD,MAVERICK,XLT,33980,CYBER ORANGE METALLIC TC,NAVY PIER -MED SLATE TRIM,–,–,24262,"950 S. Central Expy. McKinney, TX 75070",2023-05-12
504,CERTIFIED,2022,FORD,MAVERICK,XLT,31783,ICONIC SILVER METALLIC,NAVY PIER -MED SLATE TRIM,–,–,19958,"950 S. Central Expy. McKinney, TX 75070",2023-05-12
505,CERTIFIED,2022,FORD,MAVERICK,XLT,33782,CACTUS GREY,NAVY PIER -MED SLATE TRIM,–,–,7566,"950 S. Central Expy. McKinney, TX 75070",2023-05-12
506,USED,2022,FORD,MAVERICK,XL,27888,Cactus,–,Front-wheel Drive,Gasoline,65630,"1201 N Shepherd Dr Houston, TX 77008",2023-05-12
507,USED,2023,FORD,MAVERICK,XL,34999,Carbonized Gray Metallic,Black,Front-wheel Drive,Hybrid,50,"5201 Grisham Dr Rowlett, TX 75088",2023-05-12
508,USED,2022,FORD,MAVERICK,XLT,36990,Oxford White,Navy Pier,All-wheel Drive,Gasoline,1747,"334565 E. Highway 66 Wellston, OK 74881",2023-05-12
509,USED,2022,FORD,MAVERICK,XLT,37900,Area 51,Navy Pier,All-wheel Drive,Gasoline,5906,"1224 North Broadway New Ulm, MN 56073",2023-05-12
510,USED,2023,FORD,MAVERICK,LARIAT,44950,Carbonized Gray Metallic,Black Onyx,All-wheel Drive,Gasoline,673,"18411 Lyndon B Johnson Fwy Mesquite, TX 75150",2023-05-12
511,USED,2022,FORD,MAVERICK,XLT,36950,Blue,Black Onyx,Front-wheel Drive,Hybrid,16681,"18411 Lyndon B Johnson Fwy Mesquite, TX 75150",2023-05-12
512,USED,2023,FORD,MAVERICK,XLT,36500,Gray,–,FWD,Gasoline,2021,"18411 Lyndon B Johnson Fwy Mesquite, TX 75150",2023-05-12
513,USED,2022,FORD,MAVERICK,XL,27995,White,Black,Front-wheel Drive,Gasoline,2848,"5803 Richmond Ave Houston, TX 77057",2023-05-12
514,USED,2023,FORD,MAVERICK,XL,35494,Iconic Silver,Black Onyx,Front-wheel Drive,Hybrid,100,"2200 West University Drive Prosper, TX 75078",2023-05-12
515,USED,2023,FORD,MAVERICK,LARIAT,44750,Atlas Blue Metallic,Desert,All-wheel Drive,Gasoline,61,"3333 West Plano Parkway Suite 30 Plano, TX 75074",2023-05-12
516,USED,2023,FORD,MAVERICK,XLT,38999,Carbonized Gray Metallic,Navy Pier,All-wheel Drive,Gasoline,176,"10220 TX-121 Frisco, TX 75035",2023-05-12
517,USED,2022,FORD,MAVERICK,XLT,37127,Area 51,Navy Pier,Front-wheel Drive,Hybrid,19007,"9400 Southwest Fwy Houston, TX 77074",2023-05-12
518,USED,2023,FORD,MAVERICK,XLT,36992,Black,Black Onyx,Front-wheel Drive,Hybrid,295,"11711 Katy Fwy Houston, TX 77079",2023-05-12
519,USED,2023,FORD,MAVERICK,LARIAT,39994,Carbonized Gray Metallic,Desert,Front-wheel Drive,Hybrid,2323,"11711 Katy Fwy Houston, TX 77079",2023-05-12
520,USED,2023,FORD,MAVERICK,XL,34989,Silver Gray,Gray,Front-wheel Drive,Gasoline,146,"6850 TX-121 Frisco, TX 75034",2023-05-12
521,CERTIFIED,2022,FORD,MAVERICK,XLT,41995,Chili Pepper Red,Navy Pier,All-wheel Drive,Gasoline,5200,"7310 E Kellogg Dr Wichita, KS 67207",2023-05-12
522,USED,2022,FORD,MAVERICK,XLT,37000,Carbonized Gray Metallic,Navy Pier,Front-wheel Drive,Hybrid,9926,"3201 Yankee Hill Rd Lincoln, NE 68516",2023-05-12
523,USED,2023,FORD,MAVERICK,XL,,–,–,FWD,Gasoline,7310,"13115 Southwest Freeway Sugar Land, TX 77478",2023-05-12
524,USED,2023,FORD,MAVERICK,XL,35999,Gray,Gray,Front-wheel Drive,Hybrid,843,"2620 Nova Dr Dallas, TX 75229",2023-05-12
525,CERTIFIED,2022,FORD,MAVERICK,XLT,35000,Carbonized Gray Metallic,Navy Pier,Front-wheel Drive,Hybrid,26747,"1635 S Interstate 35e Carrollton, TX 75006",2023-05-12
526,CERTIFIED,2022,FORD,MAVERICK,XLT,36500,Oxford White,Navy Pier,Front-wheel Drive,Hybrid,8814,"1635 S Interstate 35e Carrollton, TX 75006",2023-05-12
527,USED,2023,FORD,MAVERICK,XLT,40000,Shadow Black,Navy Pier,All-wheel Drive,Gasoline,790,"1635 S Interstate 35e Carrollton, TX 75006",2023-05-12
528,USED,2022,FORD,MAVERICK,XLT,33750,Gray,Gray,All-wheel Drive,A/T,13000,"rick from Aubrey, TX 76227",2023-05-12
529,USED,2023,FORD,MAVERICK,XL,38904,Oxford White,Black Onyx,All-wheel Drive,Gasoline,1877,"333 N Butler Rd Pauls Valley, OK 73075",2023-05-12
530,USED,2022,FORD,MAVERICK,XLT,35905,–,–,FWD,Hybrid,42597,"333 N Butler Rd Pauls Valley, OK 73075",2023-05-12
531,USED,2022,FORD,MAVERICK,XLT,36499,Blue,Navy Pier,Front-wheel Drive,Hybrid,14522,"23502 Katy Freeway Katy, TX 77494",2023-05-12
532,USED,2022,FORD,MAVERICK,XLT,34608,Area 51,Navy Pier,All-wheel Drive,Gasoline,13119,"4050 South I-35 East Rd Denton, TX 76210",2023-05-12
533,USED,2022,FORD,MAVERICK,XLT,34500,Cactus Green / Gray,Navy Pier,Front-wheel Drive,Gasoline,7176,"1600 E. State Hwy 114 Grapevine, TX 76051",2023-05-12
534,CERTIFIED,2022,FORD,MAVERICK,LARIAT,39880,Oxford White,Desert,Front-wheel Drive,Gasoline,9871,"825 North Interstate Drive Norman, OK 73069",2023-05-12
535,USED,2022,FORD,MAVERICK,XLT,34999,Shadow Black,Black Onyx,All-wheel Drive,Gasoline,6215,"1500 E State Hwy 114 Grapevine, TX 76051",2023-05-12
536,CERTIFIED,2022,FORD,MAVERICK,LARIAT,42497,Cactus Green / Gray,Desert,All-wheel Drive,Gasoline,4193,"801 East Highway 114 Grapevine, TX 76051",2023-05-12
537,USED,2023,FORD,MAVERICK,XLT,37500,Carbonized Gray Metallic,Navy Pier,Front-wheel Drive,Hybrid,768,"801 East Highway 114 Grapevine, TX 76051",2023-05-12
538,USED,2023,FORD,MAVERICK,XLT,37497,Carbonized Gray Metallic,Navy Pier,Front-wheel Drive,Gasoline,1517,"801 East Highway 114 Grapevine, TX 76051",2023-05-12
539,USED,2022,FORD,MAVERICK,XL,33900,Shadow Black,Black Onyx/Medium Dark Slate,All-wheel Drive,Gasoline,10677,"27225 Southwest Freeway Rosenberg, TX 77471",2023-05-12
540,USED,2022,FORD,MAVERICK,XLT,35999,Blue,–,Front-wheel Drive,Gasoline,2840,"27309 Southwest Fwy Rosenberg, TX 77471",2023-05-12
541,USED,2022,FORD,MAVERICK,LARIAT,34985,Carbonized Gray Metallic,Desert,Front-wheel Drive,Gasoline,26681,"1000 I-20 West Arlington, TX 76017",2023-05-12
542,USED,2022,FORD,MAVERICK,XL,33991,Area 51,Black Onyx,All-wheel Drive,Gasoline,30428,"7320 Northwest Expressway Oklahoma City, OK 73132",2023-05-12
543,USED,2022,FORD,MAVERICK,LARIAT,39995,Shadow Black,Desert,All-wheel Drive,Gasoline,933,"1400 W Interstate 20 Arlington, TX 76017",2023-05-12
544,USED,2022,FORD,MAVERICK,XLT,33333,Iconic Silver Metallic,Navy Pier,Front-wheel Drive,Gasoline,7040,"1307 East Bridge Street Redwood Falls, MN 56283",2023-05-12
545,USED,2022,FORD,MAVERICK,XLT,35540,Cactus,Navy Pier,All-wheel Drive,Gasoline,31458,"7769 Boulevard 26 North Richland Hills, TX 76180",2023-05-12
546,USED,2023,FORD,MAVERICK,XLT,37732,Shadow Black,Navy Pier,Front-wheel Drive,Hybrid,1290,"3796 I-10 Frontage Rd Sealy, TX 77474",2023-05-12
547,USED,2022,FORD,MAVERICK,LARIAT,35995,Gray Metallic,Desert,Front-wheel Drive,Gasoline,25407,"11200 N Fwy Service Rd E Fort Worth, TX 76177",2023-05-12
548,USED,2023,FORD,MAVERICK,XL,33433,Blue,Medium Dark Slate,Front-wheel Drive,Hybrid,93,"300 W Loop 820 S Fort Worth, TX 76108",2023-05-12
549,USED,2022,FORD,MAVERICK,XL,34990,–,Black Onyx/Medium Dark Slate,Front-wheel Drive,Gasoline,13717,"2501 US-81 Chickasha, OK 73018",2023-05-12
550,USED,2023,FORD,MAVERICK,XL,37982,Gray,–,Front-wheel Drive,Hybrid,481,"4860 IH 10 Columbus, TX 78934",2023-05-12
551,USED,2023,FORD,MAVERICK,XLT,39991,Blue,Navy,All-wheel Drive,Gasoline,8712,"4860 IH 10 Columbus, TX 78934",2023-05-12
552,USED,2022,FORD,MAVERICK,LARIAT,40892,Blue,Desert,All-wheel Drive,Gasoline,11992,"4960 E US Hwy 377 Granbury, TX 76049",2023-05-12
553,USED,2022,FORD,MAVERICK,XLT,35998,Shadow Black,Navy Pier,Front-wheel Drive,Gasoline,21652,"2500 N Main St Madison, NE 68748",2023-05-12
554,USED,2022,FORD,MAVERICK,XLT,0,–,Navy Pier/Medium Slate,Front-wheel Drive,Gasoline,9857,"815 Nw 4th St Grand Rapids, MN 55744",2023-05-12
555,CERTIFIED,2022,FORD,MAVERICK,LARIAT,39580,Carbonized Grey Metallic,Desert Brown,All-wheel Drive,Gasoline,16799,"8209 NW Quanah Parker Trailway Lawton, OK 73505",2023-05-12
556,USED,2023,FORD,MAVERICK,XL,36362,Gray,Black Onyx/Medium Dark Slate,Front-wheel Drive,Hybrid,2467,"1200 Hwy 79E A Hutto, TX 78634",2023-05-12
557,USED,2023,FORD,MAVERICK,XL,35999,Gray,Black Onyx/Medium Dark Slate,Front-wheel Drive,Hybrid,868,"1200 Hwy 79E A Hutto, TX 78634",2023-05-12
